Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-DEC-2015,8009.3,8074.35,8009.3,8064.3,172338486.0,7317.3
29-DEC-2015,8070.2,8082.95,8046.45,8071.75,184103062.0,7175.18
30-DEC-2015,8082.75,8084.05,8034.45,8039.8,165474564.0,6340.69
31-DEC-2015,8044.4,8096.15,8039.3,8090.9,277621992.0,10695.43
01-JAN-2016,8085.4,8126.0,8060.9,8118.15,119511770.0,4561.21
04-JAN-2016,8082.35,8101.55,7948.6,7957.9,229291062.0,8682.34
05-JAN-2016,7994.4,7997.85,7933.45,7959.85,238177923.0,8922.52
06-JAN-2016,7964.1,7980.7,7898.6,7918.75,236986742.0,9772.11
07-JAN-2016,7849.4,7849.4,7720.2,7731.65,281866849.0,10602.92
08-JAN-2016,7776.15,7803.95,7748.05,7772.55,224645641.0,9120.89
11-JAN-2016,7702.05,7770.3,7660.65,7726.0,262996606.0,9521.83
12-JAN-2016,7749.8,7749.8,7652.3,7672.7,267389974.0,9366.45
13-JAN-2016,7720.85,7747.95,7571.5,7712.45,334229722.0,12581.34
14-JAN-2016,7615.9,7746.4,7587.3,7679.5,290753093.0,11605.52
15-JAN-2016,7705.55,7706.95,7552.4,7562.1,285264776.0,10597.89
18-JAN-2016,7546.6,7583.75,7442.7,7455.8,341142566.0,11211.82
19-JAN-2016,7485.75,7568.6,7466.05,7542.65,276144639.0,9386.36
20-JAN-2016,7465.1,7465.1,7340.95,7412.75,323152386.0,11306.52
21-JAN-2016,7482.5,7507.25,7344.95,7370.15,359913308.0,12326.23
22-JAN-2016,7451.65,7531.75,7422.4,7520.2,324035071.0,10197.11
25-JAN-2016,7569.55,7586.8,7522.5,7533.0,234870136.0,8075.94
27-JAN-2016,7566.05,7574.05,7514.8,7535.15,286345341.0,9753.38
28-JAN-2016,7523.3,7561.6,7511.75,7518.95,397200320.0,13721.53
29-JAN-2016,7512.4,7670.35,7511.95,7659.65,408773879.0,14333.98
01-FEB-2016,7688.35,7695.55,7643.05,7657.7,278717070.0,10509.4
02-FEB-2016,7669.6,7678.55,7520.95,7547.75,323948447.0,10824.13
03-FEB-2016,7482.5,7510.4,7441.5,7452.05,281651701.0,9334.92
04-FEB-2016,7507.05,7546.5,7447.55,7487.75,312089358.0,10121.98
05-FEB-2016,7504.85,7600.75,7492.95,7587.7,340797833.0,11421.83
08-FEB-2016,7591.95,7617.55,7477.6,7497.85,250818566.0,7927.42
09-FEB-2016,7416.55,7431.35,7380.95,7395.75,316112871.0,10041.42
10-FEB-2016,7364.05,7369.7,7270.85,7309.55,359998886.0,11449.75
11-FEB-2016,7296.25,7297.85,7055.0,7068.85,417658029.0,12418.89
12-FEB-2016,7117.3,7119.6,6950.4,7073.0,478643641.0,14591.25
15-FEB-2016,7155.45,7284.45,7155.45,7266.2,469291084.0,12647.72
16-FEB-2016,7301.55,7302.1,7129.5,7138.8,351609181.0,9931.76
17-FEB-2016,7149.05,7207.6,7040.0,7194.4,375433049.0,10518.66
18-FEB-2016,7264.45,7298.75,7207.0,7271.6,342243422.0,10258.67
19-FEB-2016,7251.55,7301.55,7227.95,7288.5,277178130.0,8093.75
22-FEB-2016,7292.35,7331.25,7284.85,7317.1,223943317.0,7709.71
23-FEB-2016,7324.9,7324.9,7187.0,7197.45,293748103.0,8784.97
24-FEB-2016,7164.05,7174.2,7097.25,7105.3,301239470.0,8717.61
25-FEB-2016,7117.5,7118.3,7049.8,7058.85,423551351.0,12585.71
26-FEB-2016,7128.5,7141.75,7071.8,7117.3,290212962.0,9290.79
29-FEB-2016,7138.15,7183.6,6924.4,7083.95,605769747.0,19392.3
01-MAR-2016,7132.05,7333.7,7132.05,7320.8,376429374.0,12642.16
02-MAR-2016,7416.95,7475.05,7407.3,7460.85,446830587.0,14006.62
03-MAR-2016,7519.3,7567.85,7492.25,7560.2,375095745.0,11973.06
04-MAR-2016,7589.2,7594.55,7534.7,7578.55,388545761.0,10790.82
08-MAR-2016,7579.65,7624.05,7537.15,7580.35,360345543.0,11267.45
09-MAR-2016,7533.5,7629.5,7518.85,7622.9,351374615.0,11693.15
10-MAR-2016,7637.3,7638.6,7545.05,7579.05,309687869.0,11343.98
11-MAR-2016,7577.3,7635.65,7554.8,7603.1,280860387.0,10158.93
14-MAR-2016,7637.55,7675.45,7607.3,7631.0,237139906.0,8382.3
15-MAR-2016,7629.45,7629.45,7544.95,7552.85,267486799.0,9936.23
16-MAR-2016,7548.6,7588.0,7487.25,7580.4,273695024.0,9461.58
17-MAR-2016,7640.8,7668.15,7570.65,7601.75,333806453.0,12210.78
18-MAR-2016,7622.45,7692.3,7601.7,7686.6,330435601.0,12769.0
21-MAR-2016,7703.05,7797.65,7703.05,7789.25,286080480.0,10730.5
22-MAR-2016,7784.3,7814.3,7732.75,7803.1,302731909.0,11257.91
23-MAR-2016,7806.2,7815.65,7762.05,7806.3,280173537.0,9731.1
28-MAR-2016,7829.75,7830.15,7676.5,7701.9,324184518.0,12013.72
29-MAR-2016,7692.8,7737.8,7664.95,7686.05,300816676.0,12694.15
30-MAR-2016,7739.05,7828.95,7733.85,7822.9,322744653.0,12508.96
31-MAR-2016,7818.55,7859.15,7792.15,7832.15,538220262.0,20183.83
01-APR-2016,7812.35,7836.7,7764.85,7810.7,293025056.0,10106.29
04-APR-2016,7833.2,7858.35,7802.55,7853.1,248402728.0,8254.32
05-APR-2016,7830.05,7830.05,7689.4,7701.7,313617147.0,10536.02
06-APR-2016,7732.1,7732.8,7690.45,7718.45,275464320.0,9125.06
07-APR-2016,7736.1,7736.1,7644.6,7655.1,325842217.0,9405.34
08-APR-2016,7650.95,7678.25,7635.6,7668.4,223881380.0,7552.09
11-APR-2016,7689.85,7785.15,7633.45,7778.6,278448057.0,9032.7
12-APR-2016,7779.4,7827.65,7774.85,7819.4,257471313.0,9145.02
13-APR-2016,7887.35,7968.7,7887.35,7954.6,348266085.0,12711.71
18-APR-2016,8004.9,8027.75,7948.7,8022.3,288595065.0,12752.39
20-APR-2016,8056.85,8056.85,7988.7,8023.95,350501769.0,13065.3
21-APR-2016,8063.2,8086.65,7993.65,8021.25,353428551.0,12317.93
22-APR-2016,8003.3,8035.45,7986.7,8012.15,304836648.0,9927.22
25-APR-2016,8007.4,8020.85,7940.15,7966.4,237721343.0,9341.37
26-APR-2016,7942.05,8077.15,7934.65,8066.25,315279155.0,12208.15
27-APR-2016,8048.75,8097.1,8048.4,8084.75,347072106.0,11556.45
28-APR-2016,8075.5,8098.55,7945.2,7956.2,471059111.0,18130.45
29-APR-2016,7954.75,7999.2,7899.6,7963.65,426028305.0,12308.81
02-MAY-2016,7939.9,7960.05,7909.05,7945.25,329727964.0,8803.6
03-MAY-2016,7965.9,8024.8,7872.1,7882.25,311201703.0,11509.17
04-MAY-2016,7858.0,7877.85,7818.35,7828.15,317078802.0,10089.22
05-MAY-2016,7852.1,7895.65,7824.75,7854.75,296769475.0,10537.66
06-MAY-2016,7839.85,7864.05,7803.05,7859.45,258824116.0,8140.2
09-MAY-2016,7882.7,7991.0,7882.7,7982.8,238002284.0,9479.03
10-MAY-2016,7990.65,8012.75,7956.85,8001.95,248171599.0,9324.51
11-MAY-2016,7918.65,8010.65,7895.95,7969.55,349344711.0,11566.19
12-MAY-2016,7992.6,8036.25,7976.6,8026.4,242471572.0,9493.79
13-MAY-2016,8008.3,8012.55,7917.75,7941.5,280856568.0,12508.35
16-MAY-2016,7958.75,7992.55,7899.8,7979.95,296598656.0,9709.38
17-MAY-2016,8016.0,8055.25,7997.05,8006.5,288875604.0,10919.94
18-MAY-2016,7965.25,8000.25,7929.65,7989.05,290275923.0,9787.67
19-MAY-2016,7994.8,7994.8,7885.0,7900.2,278717525.0,9578.01
